customerComment,shopComment

"Quần lúc mới mua nhìn ok, treo tủ một tuần đang tính lấy ra đi giặt thì thấy bung luôn cái cúc quần, nhắn cho shop thì phản hồi rất chậm, phải nhắn 2-3 lần mới rep, lúc trả lời thì trả lời hời hợt, nói mình cầm búa đập vô là được, đến lúc ko được thì lại bắt mình đem ra tiệm may sửa trong khi đây là lỗi của shop, còn nói là hết bao nhiêu thì shop trả, nhưng gần nhà mình ko có chỗ sửa quần áo mình phải gửi ship đi ship về mất 40k, xong thì mình cũng chỉ lấy 40k chứ ko lấy tiền sửa quần, vậy mà cũng ko trả còn nói sửa chi mất 1-2k thôi, rồi tỏ thái độ như mình ăn vạ 40k của shop, không lẽ bắt mình đi bộ ra tiệm sửa đồ trong khi đây là lỗi của bên shop, nếu ngay từ đã ko muốn trả tiền sửa thì sao không đổi quần khác cho mình đi, mình cũng chẳng rảnh rỗi mà bỏ thời gian mấy ngày ra để ăn vạ 40k, cuối cùng thì mình nói là đổi quần khác cho mình đi, mình trả lại quần này coi như mình chịu mất 40k luôn, chỉ cần 1 cái quần đúng với mô tả và không bị lỗi, thế nhưng shop lại tiếp túc không rep, thật sự rất thất vọng với shop này, livestream thì quảng cáo hay lắm, nói có vấn đề gì là hỗ trợ luôn, đến lúc có vấn đề thì mất hút luôn, làm ăn kiểu qua cầu rút ván thì không bền được đâu, để coi shop còn lừa được bao nhiêu người nữa, mọi người đọc được cmt này thì né ngay shop này nhé, kẻo lại tiếc.","Ui bạn ơi bạn có làm khó shop quá không vậy ạ? Bạn nhận được hàng từ ngày 4/11. Đến ngày 14/11 bạn mới phản hồi là quần bị bung 1 chiếc đinh.Bạn sử dụng sản phẩm sau 10 ngày vẫn yêu cầu shop phải hỗ trợ, rồi chi phí sửa 1 chiếc đinh là 40k nữa thì shop không hỗ trợ bạn được ạ. Bên mình chưa từng từ chối xử lý 1 khiếu nại của khách hàng nào nhưng cũng mong khách hàng đừng quá làm khó cho shop. Hu hu hu"
" T copy of your order and the card you are in your room please thank you for the help of the customer support",""
"Dáng quần xấu.  Ý kiến cá nhân, đánh giá thật, ko cần nhận xu.","Dạ vòng bụng khả năng mình đo nhầm rùi, bụng size S khoảng 78-81cm tương đương với cân nặng từ 58-62kg là mặc vừa ý ạ. Shop có hỗ trợ đổi size đó cậu ơi, mình có inbox cậu hỗ trợ rùi mà chưa nhận đươc phản hồi từ cậu ạ hichic"
" 1. Nhân viên trực chat rep quá chậm, thực sự rất mất hứng mua hàng 2. Giao sai size và được giải thích là do gắn nhầm tag, mình đo thông số ống quần thì M là 23cm nhưng shop vẫn nói là đó là size S, trong khi đó là thông số size M 3. Cái form dáng thực sự rất có vấn đề, minh xin phép nói câu này vì mình có kinh nghiệm may mặc, shop nên điều chỉnh 1 tí để hợp với số đông hơn 4. 1 khi bạn đã tự cho rằng sp này là cao cấp, thì việc gắn nhầm tag nhầm size là chuyện ko bao giờ chấp nhận được trong quy cách làm hàng bán. 5. Đóng gói bình thường, ko có card cám ơn, huơnhs dẫn giặt bảo quản, điều kiện bảo hành và và đổi hàng.","Mình rất cảm ơn những góp ý của cậu để bên mình có thể cải thiện tốt hơn ạ."
"","Dạ cậu ơi, B Brown thật xin lỗi cậu nhiều vì trải nghiệm mua hàng của mình chưa được tốt. Hôm cậu nhắn bên mình off nên muộn mới check được tin nhắn của cậu để hỗ trợ mà không thấy mình nói gì mà đánh giá 1 sao luôn huhuh. Mẫu quần jeans trắng bên mình bị xưởng làm sai tag size ở quần, mình cũng có note rõ như vậy ở phần ""mô tả sản phẩm"" rồi mà ạ. Thông số size M quần jeans trắng cậu nhận bằng với thông số size S của màu xanh, đen ở trong bảng tize chứ không phải shop giao nhầm đâu ạ hic."
"","B Brown thật xin lỗi cậu vì trải nghiệm mua hàng chưa được tốt ạ, không biết mẫu mình nhận có điều gì mình chưa ưng ý vậy ạ huuhu, shop có hỗ trợ đổi trả nếu mình không ưng ý hay mẫu bị lỗi mà ạ.Mình có inbox cậu để hỗ trợ kĩ hơn, cậu check inbox shop với ạaaaaa"
"Quần lúc mới mua nhìn ok, treo tủ một tuần đang tính lấy ra đi giặt thì thấy bung luôn cái cúc quần, nhắn cho shop thì phản hồi rất chậm, phải nhắn 2-3 lần mới rep, lúc trả lời thì trả lời hời hợt, nói mình cầm búa đập vô là được, đến lúc ko được thì lại bắt mình đem ra tiệm may sửa trong khi đây là lỗi của shop, còn nói là hết bao nhiêu thì shop trả, nhưng gần nhà mình ko có chỗ sửa quần áo mình phải gửi ship đi ship về mất 40k, xong thì mình cũng chỉ lấy 40k chứ ko lấy tiền sửa quần, vậy mà cũng ko trả còn nói sửa chi mất 1-2k thôi, rồi tỏ thái độ như mình ăn vạ 40k của shop, không lẽ bắt mình đi bộ ra tiệm sửa đồ trong khi đây là lỗi của bên shop, nếu ngay từ đã ko muốn trả tiền sửa thì sao không đổi quần khác cho mình đi, mình cũng chẳng rảnh rỗi mà bỏ thời gian mấy ngày ra để ăn vạ 40k, cuối cùng thì mình nói là đổi quần khác cho mình đi, mình trả lại quần này coi như mình chịu mất 40k luôn, chỉ cần 1 cái quần đúng với mô tả và không bị lỗi, thế nhưng shop lại tiếp túc không rep, thật sự rất thất vọng với shop này, livestream thì quảng cáo hay lắm, nói có vấn đề gì là hỗ trợ luôn, đến lúc có vấn đề thì mất hút luôn, làm ăn kiểu qua cầu rút ván thì không bền được đâu, để coi shop còn lừa được bao nhiêu người nữa, mọi người đọc được cmt này thì né ngay shop này nhé, kẻo lại tiếc.","Ui bạn ơi bạn có làm khó shop quá không vậy ạ? Bạn nhận được hàng từ ngày 4/11. Đến ngày 14/11 bạn mới phản hồi là quần bị bung 1 chiếc đinh.Bạn sử dụng sản phẩm sau 10 ngày vẫn yêu cầu shop phải hỗ trợ, rồi chi phí sửa 1 chiếc đinh là 40k nữa thì shop không hỗ trợ bạn được ạ. Bên mình chưa từng từ chối xử lý 1 khiếu nại của khách hàng nào nhưng cũng mong khách hàng đừng quá làm khó cho shop. Hu hu hu"
" T copy of your order and the card you are in your room please thank you for the help of the customer support",""
"Dáng quần xấu.  Ý kiến cá nhân, đánh giá thật, ko cần nhận xu.","Dạ vòng bụng khả năng mình đo nhầm rùi, bụng size S khoảng 78-81cm tương đương với cân nặng từ 58-62kg là mặc vừa ý ạ. Shop có hỗ trợ đổi size đó cậu ơi, mình có inbox cậu hỗ trợ rùi mà chưa nhận đươc phản hồi từ cậu ạ hichic"
